epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,44.508,0.58621,1.0997,1.07205,0.99261,1,0.995,0.90414,0.52699,0.69911,1.1751,0.000411689,0.000411689,0.000411689
60,44.9235,0.59998,1.058,1.08494,0.99313,1,0.995,0.90456,0.5223,0.63996,1.1772,0.00040905,0.00040905,0.00040905
61,45.3133,0.47799,1.20389,1.35266,0.99313,1,0.995,0.90456,0.5223,0.63996,1.1772,0.000406081,0.000406081,0.000406081
62,45.727,0.48744,1.00694,1.03729,0.99337,1,0.995,0.90397,0.50882,0.6046,1.18548,0.000402782,0.000402782,0.000402782
63,46.1542,0.49864,1.11858,1.18933,0.99337,1,0.995,0.90397,0.50882,0.6046,1.18548,0.000399153,0.000399153,0.000399153
64,46.5699,0.56574,1.18914,1.30256,0.99363,1,0.995,0.89323,0.46799,0.56852,1.18473,0.000395194,0.000395194,0.000395194
65,47.0926,0.52454,0.99569,1.18597,0.99363,1,0.995,0.89323,0.46799,0.56852,1.18473,0.000390905,0.000390905,0.000390905
66,47.5137,0.73677,1.22113,1.41169,0.99374,1,0.995,0.93124,0.43003,0.53395,1.17886,0.000386286,0.000386286,0.000386286
67,47.8982,0.87223,1.45132,1.78493,0.99374,1,0.995,0.93124,0.43003,0.53395,1.17886,0.000381336,0.000381336,0.000381336
68,48.3045,0.39578,0.87873,1.03963,0.99367,1,0.995,0.95084,0.40644,0.5125,1.16684,0.000376057,0.000376057,0.000376057
69,48.6948,0.58919,0.91201,1.19359,0.99367,1,0.995,0.95084,0.40644,0.5125,1.16684,0.000370447,0.000370447,0.000370447
70,49.0988,0.54994,1.0902,1.22319,0.99359,1,0.995,0.95084,0.38724,0.49908,1.14483,0.000364508,0.000364508,0.000364508
71,49.4721,0.41336,0.79071,0.95333,0.99359,1,0.995,0.95084,0.38724,0.49908,1.14483,0.000358238,0.000358238,0.000358238
72,49.8567,0.63073,1.15054,1.50457,0.99367,1,0.995,0.95084,0.37793,0.47172,1.1224,0.000351639,0.000351639,0.000351639
73,50.2232,0.6049,0.93377,1.30368,0.99367,1,0.995,0.95084,0.37793,0.47172,1.1224,0.000344709,0.000344709,0.000344709
74,50.7147,0.72325,1.4252,1.23192,0.99366,1,0.995,0.95084,0.37914,0.46708,1.10267,0.000337449,0.000337449,0.000337449
75,51.0745,0.57508,1.20796,1.4289,0.99366,1,0.995,0.95084,0.37914,0.46708,1.10267,0.000329859,0.000329859,0.000329859
76,51.4437,0.48913,0.76816,1.13848,0.99365,1,0.995,0.9235,0.37492,0.44972,1.08761,0.000321939,0.000321939,0.000321939
77,51.7886,0.58061,0.81225,1.19013,0.99365,1,0.995,0.9235,0.37492,0.44972,1.08761,0.000313689,0.000313689,0.000313689
78,52.1427,0.44365,1.15295,1.13444,0.99398,1,0.995,0.93084,0.38107,0.43853,1.08133,0.000305109,0.000305109,0.000305109
79,50.7927,0.50997,0.91689,1.13629,0.99398,1,0.995,0.93084,0.38107,0.43853,1.08133,0.000296199,0.000296199,0.000296199
80,51.1514,0.54713,1.04811,1.65522,0.99431,1,0.995,0.92037,0.3855,0.43319,1.07626,0.000286959,0.000286959,0.000286959
81,51.4901,0.43597,0.76438,0.99182,0.99431,1,0.995,0.92037,0.3855,0.43319,1.07626,0.000277389,0.000277389,0.000277389
82,51.8498,0.55445,0.95409,1.4851,0.99448,1,0.995,0.92037,0.38225,0.42183,1.07039,0.000267488,0.000267488,0.000267488
83,52.318,0.59772,0.96336,1.66753,0.99448,1,0.995,0.92037,0.38225,0.42183,1.07039,0.000257258,0.000257258,0.000257258
84,52.6837,0.45557,0.85801,1.25837,0.99444,1,0.995,0.92036,0.37376,0.39852,1.06583,0.000246698,0.000246698,0.000246698
85,53.0155,0.52757,0.84488,1.49661,0.99444,1,0.995,0.92036,0.37376,0.39852,1.06583,0.000235807,0.000235807,0.000235807
86,53.3694,0.50095,0.75303,1.11054,0.99452,1,0.995,0.93573,0.36603,0.3855,1.06511,0.000224587,0.000224587,0.000224587
87,53.7081,0.62175,0.77711,1.31177,0.99452,1,0.995,0.93573,0.36603,0.3855,1.06511,0.000213036,0.000213036,0.000213036
88,54.0651,0.42021,0.79826,1.13153,0.99457,1,0.995,0.94061,0.35763,0.36752,1.06657,0.000201155,0.000201155,0.000201155
89,54.3892,0.58184,0.79977,1.23098,0.99457,1,0.995,0.94061,0.35763,0.36752,1.06657,0.000188944,0.000188944,0.000188944
90,54.7321,0.54922,0.93715,1.17917,0.9946,1,0.995,0.93388,0.35106,0.36407,1.06747,0.000176404,0.000176404,0.000176404
91,55.4482,0.41603,0.85503,1.14036,0.9946,1,0.995,0.93388,0.35106,0.36407,1.06747,0.000163533,0.000163533,0.000163533
92,56.0224,0.38863,0.9469,1.18729,0.99469,1,0.995,0.93388,0.34673,0.35527,1.06802,0.000150332,0.000150332,0.000150332
93,56.3814,0.36646,0.83434,1.26233,0.99469,1,0.995,0.93388,0.34673,0.35527,1.06802,0.000136801,0.000136801,0.000136801
94,56.7264,0.42041,0.84996,1.43785,0.99469,1,0.995,0.93388,0.33985,0.34834,1.06859,0.00012294,0.00012294,0.00012294
95,57.0501,0.43144,1.00104,1.07668,0.99469,1,0.995,0.93388,0.33985,0.34834,1.06859,0.000108748,0.000108748,0.000108748
96,57.4037,0.38488,0.81239,1.11185,0.9947,1,0.995,0.93388,0.33489,0.34345,1.06806,9.42272e-05,9.42272e-05,9.42272e-05
97,57.7367,0.39528,0.84281,1.06801,0.9947,1,0.995,0.93388,0.33489,0.34345,1.06806,7.93759e-05,7.93759e-05,7.93759e-05
98,58.0779,0.32012,0.77152,0.97817,0.99472,1,0.995,0.93388,0.32603,0.33882,1.06495,6.41945e-05,6.41945e-05,6.41945e-05
99,58.4393,0.36063,0.8424,1.54696,0.99472,1,0.995,0.93388,0.32603,0.33882,1.06495,4.86831e-05,4.86831e-05,4.86831e-05
100,58.792,0.4288,0.84313,1.29365,0.99472,1,0.995,0.93388,0.32025,0.3332,1.06414,3.28416e-05,3.28416e-05,3.28416e-05
